feature,gain
weeks_since_last_outbreak,259.55938720703125
year,118.55513763427734
historical_peak_deaths,103.4759292602539
season,78.59603118896484
disease_category,67.08684539794922
longitude,57.663970947265625
continent,55.58268737792969
month,54.92523193359375
population,49.984642028808594
current_case_fatality_rate,44.56212615966797
population_density,43.655662536621094
current_deaths,37.94830322265625
disease_name,37.128173828125
rolling_mean_8w,33.30782699584961
latitude,32.819618225097656
current_cases,32.60660171508789
cases_last_2_weeks,29.812000274658203
country,27.51372718811035
trend_direction,27.31753921508789
week,25.144779205322266
historical_peak_cases,21.644222259521484
neighbouring_countries_with_active_outbreak,20.796960830688477
cases_last_4_weeks,17.581235885620117
regional_cases,16.05250358581543
rolling_mean_4w,15.381827354431152
regional_growth_rate,13.05993366241455
rolling_std_4w,11.402532577514648
active_outbreak,11.312782287597656
weekly_growth_rate,9.4852294921875
cases_last_week,8.124407768249512
