feature,gain
weeks_since_last_outbreak,108.8273696899414
disease_category,50.9505500793457
country,43.69422912597656
historical_peak_deaths,42.883819580078125
rolling_std_4w,41.926204681396484
population,38.667396545410156
population_density,38.1776237487793
current_cases,36.050193786621094
rolling_mean_4w,35.124229431152344
rolling_mean_8w,34.90900421142578
latitude,33.10343551635742
trend_direction,30.568077087402344
neighbouring_countries_with_active_outbreak,30.047271728515625
longitude,29.647783279418945
season,29.272422790527344
year,28.17559814453125
weekly_growth_rate,27.559663772583008
current_case_fatality_rate,27.090600967407227
current_deaths,26.96616554260254
month,26.701976776123047
cases_last_4_weeks,26.150806427001953
disease_name,25.74153709411621
historical_peak_cases,24.86591911315918
cases_last_2_weeks,22.07750129699707
active_outbreak,20.975053787231445
continent,20.79219627380371
week,18.764450073242188
regional_growth_rate,13.02824878692627
regional_cases,12.488704681396484
cases_last_week,11.741337776184082
weekly_death_growth_rate,10.499162673950195
