event_type,method,MAE,RMSE,WAPE,interval_coverage_p10_p90,n_folds
DISEASE_OUTBREAK,chronos-2,0.2311947323017256,0.9113028579623607,1.004501250690256,0.9603174603174603,189
DISEASE_OUTBREAK,hist_mean,0.2648591641803591,0.9038710518436075,1.1507674029905248,,189
DISEASE_OUTBREAK,seasonal_naive,0.27070063694267515,0.9968101992096629,1.1643835616438356,,157
DISEASE_OUTBREAK,last_value,0.26455026455026454,0.9690992927215658,1.1494252873563218,,189
EARTHQUAKE,chronos-2,0.18602586581147518,0.5606324475561807,1.004539675381966,0.9675925925925926,108
EARTHQUAKE,hist_mean,0.23660937811304433,0.5354485252926013,1.2776906418104395,,108
EARTHQUAKE,seasonal_naive,0.22395833333333334,0.6208193510729725,1.1466666666666667,,96
EARTHQUAKE,last_value,0.24074074074074073,0.6490734136415512,1.3,,108
FLOOD,chronos-2,0.0982778234128822,0.3130056694137741,1.0024337988113985,1.0,51
FLOOD,hist_mean,0.11579269903944599,0.308095073751996,1.1810855302023495,,51
FLOOD,seasonal_naive,0.1111111111111111,0.3333333333333333,1.1111111111111112,,45
FLOOD,last_value,0.10784313725490197,0.32839478871459266,1.1,,51
STORM,chronos-2,0.13244791854716217,0.36302538216828745,1.0038158037258607,0.9930555555555556,36
STORM,hist_mean,0.16154920707268838,0.3504798064593556,1.2243729378140593,,36
STORM,seasonal_naive,0.19696969696969696,0.44381268229929727,1.4444444444444444,,33
STORM,last_value,0.1875,0.4330127018922193,1.4210526315789473,,36
TSUNAMI,chronos-2,0.10969377874425845,0.3305965548162546,1.0029145485189344,0.9895833333333334,48
TSUNAMI,hist_mean,0.12947740784135198,0.3225746037155646,1.183793443120932,,48
TSUNAMI,seasonal_naive,0.11046511627906977,0.3323629285571268,1.0555555555555556,,43
TSUNAMI,last_value,0.109375,0.33071891388307384,1.0,,48
VOLCANO,chronos-2,0.10040150281662742,0.36505637895279236,1.0040150281662743,0.9833333333333333,15
VOLCANO,hist_mean,0.12733828337942962,0.35680282395672575,1.2733828337942958,,15
VOLCANO,seasonal_naive,0.1388888888888889,0.44095855184409843,1.25,,9
VOLCANO,last_value,0.1,0.3651483716701107,1.0,,15
WILDFIRE,chronos-2,0.13574680023399802,0.420668233895641,1.002437909420293,0.9791666666666666,24
WILDFIRE,hist_mean,0.1548958013047254,0.4131966593895283,1.1438459173272029,,24
WILDFIRE,seasonal_naive,0.1527777777777778,0.45643546458763845,1.1,,18
WILDFIRE,last_value,0.15625,0.44487826050130463,1.1538461538461537,,24
EARTHQUAKE,chronos-2-cov,0.18614861631929805,0.5606415548879865,1.0052025281242094,0.9629629629629629,108
FLOOD,chronos-2-cov,0.09860903807851833,0.31307626507484343,1.005812188400887,1.0,51
STORM,chronos-2-cov,0.13380281605188632,0.36344715063608835,1.01408450060377,0.9861111111111112,36
VOLCANO,chronos-2-cov,0.10033637173473835,0.3651996941888877,1.0033637173473835,0.9833333333333333,15
WILDFIRE,chronos-2-cov,0.1356350520994359,0.42067379463324805,1.0016126924266036,0.9791666666666666,24
DISEASE_OUTBREAK,chronos-2-cov,0.2319129462194969,0.9115923609464409,1.0076217663329865,0.9603174603174603,189
TSUNAMI,chronos-2-cov,0.10974225154495798,0.33064235505134787,1.0033577284110444,0.9947916666666666,48
